slug,name,status,founded_year,hq,website,sector,one_liner,total_raised_m,latest_valuation_m,employees,revenue_signals,business_model,key_customers,team_china_profile,confidence,last_updated
august-ai,August AI,active,2024,"New York, NY",https://www.meetaugust.ai,AI Healthcare / Patient Companion,AI health companion supporting patients between doctor visits. Accel-backed.,5.0,,,,,,,medium,2026-03-21
aureka-biotech,Aureka Biotech,active,2023,"Shanghai, China",https://www.aurekabio.com,AI Drug Discovery / Antibody Design,AI-native antibody drug discovery with self-evolving AI agent for autonomous antibody design.,20.0,,,,,,,medium,2026-03-21
automat-ai,Automat,Private,2023,"San Francisco, CA",https://automat.ai,AI / Automation / RPA,AI-enabled RPA platform that turns video recordings and descriptions into automated software workflows using ChatGPT and computer vision,1.0,,,,,,,high,2026-03-23
autonomize-ai,Autonomize AI,active,2023,"Nashville, TN",https://autonomize.ai,AI Healthcare / Agentic Clinical,"Agentic AI for healthcare — automates clinical document automation, prior auth, and care coordination.",28.0,,,,,,,medium,2026-03-21
autonomous-a2z,Autonomous A2Z,active,2018,"Gyeongsan, South Korea",https://autoa2z.ai,autonomous vehicles; mobility; robotics,"South Korea's leading autonomous driving startup with 400,000+ km of autonomous driving experience, operating Level-4 autonomous vehicles across Korea, Singapore, Japan, and the UAE.",83.0,,,,,,,high,2026-03-23
avride,Avride,active,2024,"Austin, TX",https://www.avride.ai,Autonomous Vehicles / Delivery Robots,Self-driving vehicles and delivery robots. Uber partnership.,375.0,,,,,,,medium,2026-03-21
axelera-ai,Axelera AI,active,2021,"Eindhoven, Netherlands",https://axelera.ai,AI Chips / Edge Inference,Energy-efficient AI inference chips for edge computing — designed to undercut Nvidia on power.,380.0,,,,,,,high,2026-03-23
axiamatic,Axiamatic,active,2025,"Saratoga, CA",https://axiamatic.com,AI Enterprise / Agentic Transformation,Agentic AI for enterprise transformation (ERP modernization). Digital twins + process-specific models.,54.0,,,,,,,medium,2026-03-21
axiom-ai,Axiom,active,2024,"San Francisco, CA",https://axiommath.ai,AI safety; formal verification; code verification; mathematical AI,"Verified AI startup using formal mathematics to prove AI-generated code and outputs are correct, founded by a 25-year-old Stanford PhD student.",264.0,1600.0,,,"Enterprise SaaS / developer tools. Axiom's 'Verified AI' approach combines formal mathematics and AI to prove whether code and other machine-generated outputs are correct. Core use case is verifying AI-generated code -- a critical problem as AI coding assistants (Cursor, Copilot, Claude Code) proliferate. Target customers include enterprises deploying AI-generated code in safety-critical or high-stakes environments (financial services, healthcare, infrastructure). Revenue model likely usage-based or subscription for verification services.",,Founder Carina Hong appears to be of Asian descent but limited public information on specific ethnic background. Stanford and MIT educated.,medium,2026-03-20
axiomatic-ai,Axiomatic AI,active,2024,"Boston, Massachusetts, United States",https://axiomatic-ai.com,AI verification; semiconductor design; scientific computing; photonics,"AI startup integrating frontier AI models with formal mathematical and physics-based verification to deliver provable reasoning for semiconductors, photonics, and advanced manufacturing.",25.0,,,,,,,high,2026-03-23
ayar-labs,Ayar Labs,active,2015,"Santa Clara, CA",https://ayarlabs.com,AI Chips / Optical Interconnects,Silicon-photonic optical interconnects replacing copper — 20x higher throughput per watt for AI data centers. MIT spinout.,130.0,,,,,,,medium,2026-03-21
aydi,Aydi,active,2022,"Almere, Netherlands",https://aydi.com,AI AgTech / Precision Agriculture,AI field operating system with satellite monitoring and conversational agronomics.,7.5,,,,,,,medium,2026-03-21
backflip-ai,Backflip AI,active,2024,"San Francisco, CA",https://backflip.ai,AI Design / 3D CAD Generation,Generative AI converting text/photos/sketches into manufacturing-ready 3D models. Founded by Markforged founders.,30.0,,,,,,,medium,2026-03-21
baichuan-intelligence,Baichuan Intelligence,active,Apri,"Haidian District, Beijing, China",https://www.baichuan-ai.com,Foundation Models / Medical AI,"Chinese AI company developing foundation large language models with focus on healthcare, education, and finance applications",1040.0,2750.0,,,,,,high,2026-03-20
basepilot,Basepilot,Active,2023,"San Francisco, CA",https://basepilot.com,AI Automation / Browser-Based Workflows,AI coworkers that automate repetitive browser-based tasks through demonstration learning,0.5,,,,,,,Medium,2026-03-23
baseten,Baseten,Private,2019,"San Francisco, CA",https://www.baseten.co,AI Infrastructure / Cloud,"Baseten is an AI model inference infrastructure company that enables teams to deploy, serve, and scale machine learning models in production",585.0,5000.0,150-190 (est. 2025-2026),,,,,high,2026-03-20
basis,Basis,Private,2023,"New York, NY",https://www.getbasis.ai,AI for Accounting,"AI agents for accounting firms that automate financial statement preparation, tax filing, and expense tracking with long-horizon task execution",137.6,1150.0,50-100 (estimated based on growth stage),Undisclosed,,,,high,2026-03-20
bedrock-robotics,Bedrock Robotics,active,2024,"San Francisco, CA, USA",https://bedrockrobotics.com,Robotics / Autonomous Construction / AI,"Autonomous construction robotics company building self-driving kits for heavy equipment, founded by ex-Waymo engineers with $350M raised.",350.0,1750.0,,,,,,high,2026-03-23
biomap,BioMap,active,2020,"Beijing, China",https://www.biomap.com,ai-biotech; drug-discovery; protein-design,AI-powered life sciences platform using a 268B-parameter foundation model to decode biological systems and accelerate drug discovery.,150.0,,,,,,,medium,2026-03-23
bioptimus,Bioptimus,active,2023,"Paris, France",https://bioptimus.com,AI Biotech / Foundation Models,"Universal biology foundation model trained on DNA, proteins, and cell images.",67.0,,,,,,,medium,2026-03-21
biostate-ai,Biostate AI,active,2023,"Houston, TX",https://www.biostate.ai,AI Biotech / RNA Sequencing,AI-powered RNA sequencing platform. Accel-backed.,,,,,,,,medium,2026-03-21
birch-biosciences,Birch Biosciences,Private,2022,"Portland, OR",https://www.birchbiosciences.com,AI / Biotech / Climate / Enzyme Engineering,Uses generative AI and enzyme engineering to develop novel biological solutions for plastic recycling,2.0,,,,,,,high,2026-03-23
biren-technology,Biren Technology,active,2019,"Shanghai, China",https://www.birentech.com,AI Chips / GPU Accelerators,Biren Technology is a Shanghai-based AI chip company that designs general-purpose GPUs for AI training and inference,904.0,,1000+ (estimated),,,,,high,2026-03-20
black-forest-labs,Black Forest Labs,active,2024,"Freiburg, Germany",https://blackforestlabs.ai,AI Visual / Image Generation,Frontier visual AI lab — creators of the FLUX open-source image generation model family. European AI lab.,331.0,3250.0,,,,,,medium,2026-03-21
bland-ai,Bland AI,active,2023,"San Francisco, CA",https://www.bland.ai,AI voice; enterprise AI; AI agents,"Enterprise platform for automating phone calls with AI voice agents that sound human, handling both inbound and outbound calls at scale",65.0,,,,,,,high on funding and founders; moderate on headcount and revenue,2026-03-20
blocks-diy,Blocks.diy,active,2024,"Tel Aviv, Israel",https://blocks.diy,AI Enterprise / No-Code Agents,AI-native platform for non-technical teams to build custom AI tools in minutes. First monday.com external investment.,10.0,,,,,,,medium,2026-03-21
blue-j,Blue J,active,2015,"Toronto, Canada",https://www.bluej.com,legal-ai; tax-tech; enterprise-ai,"AI-powered tax research platform used by 4,000+ law firms, transforming tax queries with generative AI.",139.5,,,,,,,high,2026-03-23
blue-water-autonomy,Blue Water Autonomy,active,2024,"Boston, MA",https://blw.ai,AI Defense / Autonomous Ships,Fully autonomous captainless ships for months-long open-ocean missions. Liberty Class 190-foot warship for US Navy. Founded by 6 River Systems founder.,64.0,,,,,,,medium,2026-03-21
boardy-ai,Boardy AI,active,2024,"San Francisco, CA",https://www.boardy.ai,AI Networking / Social,"AI networking agent that calls users, learns about them, and connects them with relevant people.",8.0,,,,,,,medium,2026-03-21
bobyard,Bobyard,active,2023,"San Francisco, CA",https://bobyard.com,AI Construction / Estimating,AI computer-vision platform automating construction takeoffs and estimating — 70% faster bids.,38.6,,,,,,,medium,2026-03-21
bolt,Bolt.new (StackBlitz),active,2017,"San Francisco, CA",https://bolt.new,AI-Powered Development Tools / Vibe Coding,"AI-powered full-stack application builder that runs entirely in the browser, turning natural-language prompts into deployable web apps in minutes",135.4,700.0,,,,,,high on funding and founder data; moderate on 2026 revenue and team size,2026-03-20
bone-ai,Bone AI,active,2024,"Seoul, South Korea",https://www.bonerobotics.ai,AI Defense / Autonomous Maritime,AI platform for autonomous surface vessels and underwater drones for defense and maritime surveillance.,12.0,,,,,,,medium,2026-03-21
brainfish,Brainfish,active,2022,"Sydney, Australia",https://www.brainfishai.com,AI / Customer Experience / Knowledge Base,"AI-powered ambient knowledge base that delivers personalized product knowledge to customers and agents, auto-updating from user interactions.",10.0,,,,,,,medium,2026-03-23
braintrust-ai,Braintrust (AI Eval),active,2023,"San Francisco, CA",https://braintrust.dev,AI Observability / LLM Evaluation,"AI observability and eval infrastructure — hallucination detection, drift monitoring, production evals. Notion, Stripe, Cloudflare as customers.",121.0,800.0,,,,,,medium,2026-03-21
bretton-ai,Bretton AI,active,2022,"San Francisco, CA",https://bretton.com,AI FinCrime / Compliance,"AI agents for financial crime compliance — AML, KYC, sanctions investigation. Robinhood, Mercury, Gusto as clients. YC-backed.",90.0,,,,,,,medium,2026-03-21
bria-ai,BRIA AI,active,2020,"Tel Aviv, Israel",https://bria.ai,AI Visual / Responsible GenAI,Responsible visual generative AI trained on licensed content only. Pays royalties to creators. Intel Capital + Samsung backed.,24.0,,,,,,,medium,2026-03-21
bricklayer-ai,Bricklayer AI,active,2025,"Arlington, VA",https://www.bricklayer.ai,AI Cybersecurity / SOC Agents,"AI agents for SOCs handling alert triage, vulnerability management, and incident reporting.",5.0,,,,,,,medium,2026-03-21
brightwave,Brightwave,Private,2023,"Boulder, CO",https://www.brightwave.io,AI for Finance / Investment Research,AI-powered investment research platform that synthesizes thousands of pages of financial documents into actionable insights for investment professionals,21.0,,22 (as of Jan 2026 per Tracxn),Undisclosed (reported 4x revenue growth in four months post-seed; no public ARR figure),,,,high,2026-03-20
brisk-teaching,Brisk Teaching,active,2023,"Los Altos, CA",https://briskteaching.com,AI EdTech / Teacher Tools,"AI Chrome extension for teachers with 40+ tools for planning, grading, feedback. 1M+ educators in 100 countries.",20.0,,,,,,,medium,2026-03-21
browser-use,Browser Use,active,2024,"Zurich, Switzerland / San Francisco, CA",https://browser-use.com,AI Infrastructure / Agentic AI Tooling,Browser Use is the leading open-source framework for enabling AI agents to control web browsers,17.0,,,,,,,high,2026-03-20
