company_slug,name,role,background,origin,prior
arena,Ion Stoica,Co-founder & Advisor,"MS EE/CS Polytechnic University of Bucharest, PhD ECE Carnegie Mellon. Professor of CS at UC Berkeley (Xu Bao Chancellor's Chair). Co-founded Databricks, Conviva, and Anyscale.",Romanian-American,
arize-ai,Aparna Dhinakaran,Co-Founder & Chief Product Officer,"BS EECS UC Berkeley (published research with Berkeley AI Research group). On leave from PhD in Computer Vision at Cornell. Former ML engineer at Uber (built Michelangelo ML platform), Apple, and TubeMogul (acquired by Adobe). Founded MonitorML (YC-backed). Forbes 30 Under 30.",Indian-American,
arize-ai,Jason Lopatecki,Co-Founder & CEO,"BS EECS UC Berkeley. Co-founded TubeMogul (scaled to IPO, acquired by Adobe) as Chief Innovation Officer. Deep expertise in big data architectures, programmatic advertising, and distributed systems.",American,
armada-edge,Dan Wright,Co-Founder & CEO,Former CEO of DataRobot. Former COO of AppDynamics (through $3.7B Cisco acquisition).,American,
armada-edge,Jon Runyan,Co-Founder & COO,,American,
armadin,Kevin Mandia,Founder & CEO,Founded Mandiant in 2004 (sold to Google for $5.4B in 2022). Iconic cybersecurity figure.,American,
armadin,Travis Lanham,Co-Founder,Former Google Cloud Security principal engineer.,American,
armadin,Evan Peña,Co-Founder,Former Mandiant executive.,American/Hispanic (inferred from name),
armadin,David Slater,Co-Founder,Former Google SecOps engineer.,American,
arondite,Will Blyth,Co-Founder & CEO,Former British Army Officer. Previously at Palantir and Helsing (AI defence).,British,
arondite,Rob Underhill,Co-Founder & CTO,Former lead engineer at BAE Systems. Founding engineer at Garrison Technology.,British (inferred from name),
artificial-societies,James K He,Co-Founder & CEO,"Cambridge psychologist and data scientist. Led seminal paper studying how 33,000 AI chatbots interact.",Chinese-British,
artificial-societies,Patrick Sharpe,Co-Founder,Applied behavioural scientist with years of experience helping F500 enterprises conduct market research.,British (inferred from name),
artisan-ai,Jaspar Carmichael-Jack,Co-Founder & CEO,British entrepreneur. Previously founded an on-demand services startup and a GTM agency. Founded Artisan at age 23.,British (inferred from name),
artisan-ai,Sam Stallings,Co-Founder,Former IBM product manager.,American,
arva-ai,Rhim Shah,Co-Founder & CEO,"Engineering, University of Oxford. Former FinCrime product lead at Revolut Business. Former product roles at Jobandtalent. APM intern at Google. Previous internship at AWS.",British,
arva-ai,Oliver Wales,Co-Founder & CTO,"CS University of Cambridge. Former lead product engineer at Opvia (YC S20). Former full-stack engineer at Iventis, Chimnie, and The Trade Desk.",British,
asimov-robotics,Unknown,Co-Founder & CEO,Robotics and data platform background.,,
assembled,Ryan Wang,Co-Founder & CEO,"ML Engineer at Stripe (~employee #80); M.S. Statistics & B.A. Economics, University of Chicago",Chinese-American,
assembled,John Wang,Co-Founder & CTO,"Software Engineer at Stripe (~employee #100); B.S. Computer Science, MIT; prev. Palantir, 37signals, co-founded Zinc",Chinese-American,
assembled,Brian Sze,Co-Founder,"Head of Business Operations at Stripe (2012-2016, employee ~30-500 scale); B.A. Economics, Stanford; prev. Obama for America analytics team",Chinese-American,
assemblyai,Dylan Fox,Founder & CEO,"BA Business Economics & Public Policy, George Washington University. Former ML team lead at Cisco Systems. Founded YouGive1. YC alum. AssemblyAI voted Best API of 2020.",American,
assort-health,Jeff Liu,Co-Founder & CEO,Healthcare AI entrepreneur. Built Assort Health from the insight that healthcare call centers are overwhelmed and patients face unacceptable wait times.,Chinese-American,
assort-health,Jon Wang,Co-Founder & CTO,Technical co-founder leading AI and engineering. Built the voice AI and agentic systems powering the platform.,Chinese-American,
astrus,Brad Moon,Co-founder,University of Alberta (analog IC design). Former satellite CMOS image sensor designer at Teledyne DALSA. Previously helped lead product discovery for ApplyBoard.,Canadian,
astrus,Zeyi Wang,Co-founder,Reinforcement learning researcher trained by AlphaGo advisor Martin Müller at University of Alberta. Worked in research group that laid foundations for Google DeepMind's AlphaGo.,Chinese-Canadian,
astut,Pete Grindrod,Founder & CEO,Professor of mathematics at University of Oxford. Founding trustee of the Alan Turing Institute. CBE for services to mathematics (2005). Previously founded Numbercraft (acquired 2003).,British,
athina-ai,Shiv Sakhuja,Co-Founder & CEO,Software engineering and AI/ML background; previously at enterprise tech companies,Indian-American,
athina-ai,Akshat Gupta,Co-Founder,Engineering background,Indian-American,
atlan,Prukalpa Sankar,Co-Founder & Co-CEO,"Nanyang Technological University, Singapore",Indian,Co-Founder of SocialCops; Forbes 30 Under 30; TED Speaker
atlan,Varun Banka,Co-Founder & Co-CEO,"Nanyang Technological University, Singapore",Indian,Co-Founder of SocialCops
atomic-ai,Raphael Townshend,CEO,Stanford PhD in ML for structural biology,American,
attio,Nicolas Sharp,Co-Founder & CEO,Former investment associate at Passion Capital. Newcastle University graduate.,British (inferred from name and London base),
attio,Alexander Christie,Co-Founder & CTO,Technical co-founder since 2019.,British (inferred from name),
attuned-intelligence,Domenic Donato,Co-Founder & CEO,Former Google engineer and DeepMind research lead. Previously scaled tech teams at AssemblyAI.,Italian-American (inferred from name),
augment-code,Igor Ostrovsky,Co-Founder,Former chief architect at Pure Storage. Former Microsoft software engineer. CS degree from University of British Columbia.,Russian/Eastern European (inferred from name),
augment-code,Guy Gur-Ari,Co-Founder,Former AI researcher at Google.,Israeli (inferred from name),
august-ai,Anuruddh Mishra,CEO,"BTech Electronics Engineering IIT-BHU Varanasi. Former roles at SuperShare, Give, and Reimagine Giving. Founded August AI after personal four-month misdiagnosis experience. 6M+ users across 160 countries.",Indian,
aureka-biotech,Weian Zhao,Co-Founder & CEO,"Former tenured professor at UC Irvine. Trained at Harvard Medical School, MIT, McMaster University, and Shandong University.",Chinese,
aureka-biotech,Alon Wellner,Co-Founder & VP Biology,Biology and antibody design expertise.,Israeli (inferred from name),
automat-ai,Lucas Ochoa,Co-Founder,Previously at Google; left to build AI-powered automation full-time,American,
automat-ai,Gautam Bose,Co-Founder,Previously at Google; left to build AI-powered automation full-time,American,
autonomize-ai,Ganesh Padmanabhan,Co-Founder & CEO,Healthcare AI entrepreneur.,Indian,
autonomize-ai,Kris Nair,Co-Founder,Healthcare technology background.,Indian,
autonomous-a2z,Han Ji-hyeong,CEO,Former Hyundai Motor Group engineer. Left Hyundai with three colleagues to found Autonomous A2Z in 2018.,Korean,
autox,Jianxiong Xiao (Professor X),CEO,"Former Princeton University professor. PhD from MIT. Specializes in computer vision, 3D deep learning, and autonomous driving.",,
autumn-billing,Unknown,Co-Founder,YC S25 batch.,,
avelis-health,Angel Onuoha,Co-Founder,YC S25 batch.,Nigerian (inferred from name),
avelis-health,Ahmad Shehu,Co-Founder,YC S25 batch.,Nigerian (inferred from name),
avride,Dmitry Polishchuk,CEO,15+ years at Yandex. Former CEO of Yandex Self-Driving Group. Avride spun out of Yandex autonomous driving division.,Russian,
axelera-ai,Fabrizio Del Maffeo,CEO,Former Head of AI at Bitfury Group. Former VP at AAEON Technology Europe (ASUS Group).,Italian,
axelera-ai,Evangelos Eleftheriou,CTO,IBM Fellow. 35+ years at IBM Research Zurich.,Greek,
axiamatic,Rajiv Gupta,CEO,Co-founded Skyhigh Networks (acq McAfee),Indian-American,
axiamatic,Kaushik Narayan,CTO,Co-founded Skyhigh Networks,Indian-American,
axiom-ai,Carina Hong,CEO & Founder,25-year-old Stanford University PhD student in mathematics. MIT graduate. Described as a 'math wizard.' Research focus on formal verification and mathematical proof systems.,American,
axiom-math,Carina Hong,CEO & Founder,"Morgan Prize winner, Rhodes Scholar, Stanford PhD dropout. Pioneer in applying formal verification to AI-generated code.",American,
axiom-math,Shubho Sengupta,CTO,Led Meta's AI supercluster and CrypTen secure ML project.,Indian-American,
axiomatic-ai,Dirk Englund,Co-founder,MIT Professor of Electrical Engineering and Computer Science. Expert in quantum photonics and nanophotonics.,American,
axiomatic-ai,Frank Koppens,Co-founder,Professor at the Institute of Photonic Sciences (ICFO) in Barcelona. Leading researcher in photonics and 2D materials.,Dutch (inferred),
axiomatic-ai,Joyce Poon,Co-founder,Professor of Electrical and Computer Engineering at the University of Toronto. Expert in silicon photonics.,Canadian (inferred),
axiomatic-ai,Marin Soljacic,Co-founder,Professor of Physics at MIT and MacArthur Fellow. Pioneer in photonic crystals and wireless power transfer.,Croatian-American,
ayar-labs,Mark Wade,"Co-Founder & CEO (appointed CEO Dec 2023, formerly CTO)",Invented optical I/O technology at MIT and UC Berkeley (2010-2015). Pioneer in silicon photonics.,American,
ayar-labs,Alex Wright-Gladstein,Co-Founder & former CEO,MIT spinout co-founder.,American,
ayar-labs,Vladimir Stojanovic,Co-Founder,UC Berkeley professor. Optical communications researcher.,Serbian (inferred from name),
ayar-labs,Chen Sun,Co-Founder,Optical I/O researcher at MIT/UC Berkeley.,Chinese,
aydi,Hassan Fayed,Founder & CEO,AgTech entrepreneur.,Arab/Middle Eastern (inferred from name),
backflip-ai,Greg Mark,Co-Founder & CEO,"Co-founded Markforged in 2013 (industrial 3D printing, SPAC'd at $2.1B peak valuation). Built Eiger cloud CAD platform used by 50K+ engineers.",American,
backflip-ai,David Benhaim,Co-Founder & CTO,Co-founded Markforged. Deep expertise in 3D printing and CAD systems.,French/North African (inferred from name),
baichuan-intelligence,Wang Xiaochuan (王小川),Founder & CEO,"Tsinghua University, Computer Science (entered via national informatics olympiad) Former CEO of Sogou (China's second-largest search engine), which was acquired by Tencent in 2021 for ~$3.5B. Built Sogou from a Sohu subsidiary into a publicly traded company (NYSE). One of China's most prominent tech entrepreneurs, often called a ""first-generation internet veteran.""",Chinese,
basepilot,Pascal Wieler,Co-Founder,"Carnegie Mellon robotics, Mercedes-Benz Research",German,
basepilot,Ken Hendricks,Co-Founder,Led fintech product to 3M users,Indian-New Zealander,
baseten,Tuhin Srivastava,Co-Founder & CEO,Former investment banker at Macquarie Group. ML roles at Skulpt and Gumroad.,Indian,
baseten,Amir Haghighat,Co-Founder & CTO,AI infrastructure engineering background.,Iranian (inferred from name),
baseten,Philip Howes,Co-Founder & Chief Scientist,ML research background.,British/American (inferred from name),
basis,Matthew Harpe,Co-Founder & CEO,"Former consultant at Boston Consulting Group (healthcare and data science). Discovered accounting data inefficiencies while at BCG, left to co-found Basis.",American,
basis,Mitchell Troyanovsky,Co-Founder,Long-time friend of Harpe. Exposed to accounting industry inefficiencies in prior career. Co-built Basis prototype that attracted immediate interest from largest US accounting firms.,American (Slavic heritage),
beacon-health,Unknown,Co-Founder & CEO,Healthcare and AI background.,,
beacons-ai,Neal Jean,CEO,PhD Stanford AI Lab (deep learning).,,
beacons-ai,David Zeng,CTO,PhD Stanford AI Lab (signal processing/ML).,,
beacons-ai,Jesse Zhang,Co-founder,PhD Stanford AI Lab (ML/genomics).,,
bedrock-robotics,Boris Sofman,Co-Founder & CEO,"BS, MS, PhD Robotics Carnegie Mellon. Co-founded Anki (consumer robotics, shipped 3.7M+ devices, ~$100M annual revenue). Former Director of Engineering & Head of Trucking at Waymo (~5 years).",American,
bedrock-robotics,Kevin Peterson,Co-Founder & CTO,Former Waymo engineering leader. Part of the core ex-Waymo team that founded Bedrock.,American,
bedrock-robotics,Ajay Gummalla,Co-Founder & VP Engineering,Former Waymo engineering leader. Part of the core ex-Waymo team that founded Bedrock.,Indian-American,
bedrock-robotics,Tom Eliaz,Co-Founder & VP Engineering,Former Waymo engineering leader. Part of the core ex-Waymo team that founded Bedrock.,American,
biomap,Wei Liu,CEO,Former CEO of Baidu Ventures,Chinese,
biomap,Robin Li,Chairman,Founder and CEO of Baidu; co-established BioMap,Chinese,
bioptimus,Jean-Philippe Vert,CEO,25+ years ML/life sciences. Chief R&D Officer at Owkin. Former head of Google Brain Paris. Professor at PSL University.,French,
bioptimus,Rodolphe Jenatton,CTO,Former senior research scientist at Amazon and Google.,French,
biostate-ai,Ashwin Gopinath,Co-founder & CTO,"Associate Professor at MIT (on leave). Former Senior Research Fellow at Google X (2016). PhD Caltech (Robert Dirk Prize in Molecular Programming 2016). NSF Career Award 2020, Army Research Office YIP Award 2019.",Indian-American,
biostate-ai,David Zhang,Co-founder & CEO,Former professor and repeat entrepreneur. Background in DNA research and engineering. Co-founded Biostate AI with Gopinath to apply AI to RNA sequencing.,Chinese-American,
birch-biosciences,Morgan Vague,Co-Founder & CEO,Microbiologist and enzyme engineer; research background in plastic-degrading bacteria and enzymes; PhD-level expertise in synthetic biology,American,
