company_slug,company_name,founder_name,role,background,origin,status
apptronik,Apptronik,Luis Sentis,Co-Founder & Scientific Advisor,"Professor at UT Austin, Human Centered Robotics Lab.",Spanish/Hispanic (inferred from name),
apptronik,Apptronik,Bill Welch,Co-Founder & Mentor,Retired Air Force General.,American,
appzen,Appzen,Anant Kale,Co-founder & CEO,"BEng, MBA Finance University of Mumbai. Former VP Applications at Fujitsu America (strategy, product management). 15+ years in enterprise software development.",Indian,
appzen,Appzen,Kunal Verma,Co-founder & CTO,"PhD CS University of Georgia (semantic technologies). Former team lead at Accenture Technology Labs. Published 50+ papers, holds 7 patents in AI/semantic technologies.",Indian,
april-ai,April Ai,Unknown,Co-Founder,YC S25 batch.,,
apriora,Apriora,Aaron Wang,Co-Founder,"Quant finance, Facebook AI",Chinese-American,
apriora,Apriora,John Rytel,Co-Founder,,American,
arago-photonics,Arago Photonics,Nicolas Muller,CEO,ML from MIT. DeepTech startup experience.,French,
arago-photonics,Arago Photonics,Eliott Sarrey,CTO,Ecole Polytechnique + ETH Zurich. Google Science Fair winner.,French,
arcade-ai,Arcade Ai,Alex Salazar,Co-Founder & CEO,Former Okta executive.,American,
arcade-ai,Arcade Ai,Sam Partee,Co-Founder & CTO,Former Redis engineer.,American,
arcads-ai,Arcads Ai,Romain Torres,Co-Founder & Co-CEO,Based in France.,French (inferred from name),
arcads-ai,Arcads Ai,Dylan Fournier,Co-Founder & Co-CEO,Based in France.,French (inferred from name),
arcee-ai,Arcee Ai,Mark McQuade,CEO,Former early employee at Hugging Face. Led monetization strategy.,,
arcee-ai,Arcee Ai,Jacob Solawetz,CTO,Previously at Roboflow (YC). Computer vision/ML.,,
archetype-ai,Archetype Ai,Ivan Poupyrev,CEO,"MS Applied Math & CS Moscow Aerospace University, PhD CS Hiroshima University. Former Director of Engineering at Google ATAP (led Project Soli radar sensing and Jacquard smart textiles, shipped in 15+ products across 33 countries). Former Principal Research Scientist at Walt Disney Imagineering and Sony Research Tokyo.",Russian-American,
archetype-ai,Archetype Ai,Leonardo Giusti,Co-founder,Former Google ATAP team member. Co-created Project Jacquard connected apparel platform.,Italian-American,
archetype-ai,Archetype Ai,Jaime Lien,Co-founder,Former Google ATAP team member. Co-created Project Soli radar-based gesture recognition.,American,
archetype-ai,Archetype Ai,Brandon Barbello,Co-founder,Former Google ATAP team member. Worked on Project Soli and Jacquard platforms.,American,
archetype-ai,Archetype Ai,Nick Gillian,Co-founder,Former Google ATAP team member. ML/sensing specialist on Project Soli.,Irish-American,
arcline,Arcline,Unknown,Co-Founder & CEO,Legal and AI background.,,
arize-ai,Arize Ai,Aparna Dhinakaran,Co-Founder & Chief Product Officer,"BS EECS UC Berkeley (published research with Berkeley AI Research group). On leave from PhD in Computer Vision at Cornell. Former ML engineer at Uber (built Michelangelo ML platform), Apple, and TubeMogul (acquired by Adobe). Founded MonitorML (YC-backed). Forbes 30 Under 30.",Indian-American,
arize-ai,Arize Ai,Jason Lopatecki,Co-Founder & CEO,"BS EECS UC Berkeley. Co-founded TubeMogul (scaled to IPO, acquired by Adobe) as Chief Innovation Officer. Deep expertise in big data architectures, programmatic advertising, and distributed systems.",American,
armada-edge,Armada Edge,Dan Wright,Co-Founder & CEO,Former CEO of DataRobot. Former COO of AppDynamics (through $3.7B Cisco acquisition).,American,
armada-edge,Armada Edge,Jon Runyan,Co-Founder & COO,,American,
armadin,Armadin,Kevin Mandia,Founder & CEO,Founded Mandiant in 2004 (sold to Google for $5.4B in 2022). Iconic cybersecurity figure.,American,
armadin,Armadin,Travis Lanham,Co-Founder,Former Google Cloud Security principal engineer.,American,
armadin,Armadin,Evan Peña,Co-Founder,Former Mandiant executive.,American/Hispanic (inferred from name),
armadin,Armadin,David Slater,Co-Founder,Former Google SecOps engineer.,American,
arondite,Arondite,Will Blyth,Co-Founder & CEO,Former British Army Officer. Previously at Palantir and Helsing (AI defence).,British,
arondite,Arondite,Rob Underhill,Co-Founder & CTO,Former lead engineer at BAE Systems. Founding engineer at Garrison Technology.,British (inferred from name),
artificial-societies,Artificial Societies,James K He,Co-Founder & CEO,"Cambridge psychologist and data scientist. Led seminal paper studying how 33,000 AI chatbots interact.",Chinese-British,
artificial-societies,Artificial Societies,Patrick Sharpe,Co-Founder,Applied behavioural scientist with years of experience helping F500 enterprises conduct market research.,British (inferred from name),
artisan-ai,Artisan Ai,Jaspar Carmichael-Jack,Co-Founder & CEO,British entrepreneur. Previously founded an on-demand services startup and a GTM agency. Founded Artisan at age 23.,British (inferred from name),
artisan-ai,Artisan Ai,Sam Stallings,Co-Founder,Former IBM product manager.,American,
arva-ai,Arva Ai,Rhim Shah,Co-Founder & CEO,"Engineering, University of Oxford. Former FinCrime product lead at Revolut Business. Former product roles at Jobandtalent. APM intern at Google. Previous internship at AWS.",British,
arva-ai,Arva Ai,Oliver Wales,Co-Founder & CTO,"CS University of Cambridge. Former lead product engineer at Opvia (YC S20). Former full-stack engineer at Iventis, Chimnie, and The Trade Desk.",British,
asimov-robotics,Asimov Robotics,Unknown,Co-Founder & CEO,Robotics and data platform background.,,
assembled,Assembled,Ryan Wang,Co-Founder & CEO,"ML Engineer at Stripe (~employee #80); M.S. Statistics & B.A. Economics, University of Chicago",Chinese-American,
assembled,Assembled,John Wang,Co-Founder & CTO,"Software Engineer at Stripe (~employee #100); B.S. Computer Science, MIT; prev. Palantir, 37signals, co-founded Zinc",Chinese-American,
assembled,Assembled,Brian Sze,Co-Founder,"Head of Business Operations at Stripe (2012-2016, employee ~30-500 scale); B.A. Economics, Stanford; prev. Obama for America analytics team",Chinese-American,
assemblyai,Assemblyai,Dylan Fox,Founder & CEO,"BA Business Economics & Public Policy, George Washington University. Former ML team lead at Cisco Systems. Founded YouGive1. YC alum. AssemblyAI voted Best API of 2020.",American,
assort-health,Assort Health,Jeff Liu,Co-Founder & CEO,Healthcare AI entrepreneur. Built Assort Health from the insight that healthcare call centers are overwhelmed and patients face unacceptable wait times.,Chinese-American,
assort-health,Assort Health,Jon Wang,Co-Founder & CTO,Technical co-founder leading AI and engineering. Built the voice AI and agentic systems powering the platform.,Chinese-American,
astrus,Astrus,Brad Moon,Co-founder,University of Alberta (analog IC design). Former satellite CMOS image sensor designer at Teledyne DALSA. Previously helped lead product discovery for ApplyBoard.,Canadian,
astrus,Astrus,Zeyi Wang,Co-founder,Reinforcement learning researcher trained by AlphaGo advisor Martin Müller at University of Alberta. Worked in research group that laid foundations for Google DeepMind's AlphaGo.,Chinese-Canadian,
astut,Astut,Pete Grindrod,Founder & CEO,Professor of mathematics at University of Oxford. Founding trustee of the Alan Turing Institute. CBE for services to mathematics (2005). Previously founded Numbercraft (acquired 2003).,British,
athina-ai,Athina Ai,Shiv Sakhuja,Co-Founder & CEO,Software engineering and AI/ML background; previously at enterprise tech companies,Indian-American,
athina-ai,Athina Ai,Akshat Gupta,Co-Founder,Engineering background,Indian-American,
atlan,Atlan,Prukalpa Sankar,Co-Founder & Co-CEO,"Nanyang Technological University, Singapore",Indian,
atlan,Atlan,Varun Banka,Co-Founder & Co-CEO,"Nanyang Technological University, Singapore",Indian,
atomic-ai,Atomic Ai,Raphael Townshend,CEO,Stanford PhD in ML for structural biology,American,
attio,Attio,Nicolas Sharp,Co-Founder & CEO,Former investment associate at Passion Capital. Newcastle University graduate.,British (inferred from name and London base),
attio,Attio,Alexander Christie,Co-Founder & CTO,Technical co-founder since 2019.,British (inferred from name),
attuned-intelligence,Attuned Intelligence,Domenic Donato,Co-Founder & CEO,Former Google engineer and DeepMind research lead. Previously scaled tech teams at AssemblyAI.,Italian-American (inferred from name),
augment-code,Augment Code,Igor Ostrovsky,Co-Founder,Former chief architect at Pure Storage. Former Microsoft software engineer. CS degree from University of British Columbia.,Russian/Eastern European (inferred from name),
augment-code,Augment Code,Guy Gur-Ari,Co-Founder,Former AI researcher at Google.,Israeli (inferred from name),
august-ai,August Ai,Anuruddh Mishra,CEO,"BTech Electronics Engineering IIT-BHU Varanasi. Former roles at SuperShare, Give, and Reimagine Giving. Founded August AI after personal four-month misdiagnosis experience. 6M+ users across 160 countries.",Indian,
aureka-biotech,Aureka Biotech,Weian Zhao,Co-Founder & CEO,"Former tenured professor at UC Irvine. Trained at Harvard Medical School, MIT, McMaster University, and Shandong University.",Chinese,
aureka-biotech,Aureka Biotech,Alon Wellner,Co-Founder & VP Biology,Biology and antibody design expertise.,Israeli (inferred from name),
automat-ai,Automat Ai,Lucas Ochoa,Co-Founder,Previously at Google; left to build AI-powered automation full-time,American,
automat-ai,Automat Ai,Gautam Bose,Co-Founder,Previously at Google; left to build AI-powered automation full-time,American,
autonomize-ai,Autonomize Ai,Ganesh Padmanabhan,Co-Founder & CEO,Healthcare AI entrepreneur.,Indian,
autonomize-ai,Autonomize Ai,Kris Nair,Co-Founder,Healthcare technology background.,Indian,
autonomous-a2z,Autonomous A2Z,Han Ji-hyeong,CEO,Former Hyundai Motor Group engineer. Left Hyundai with three colleagues to found Autonomous A2Z in 2018.,Korean,
autox,Autox,Jianxiong Xiao (Professor X),CEO,"Former Princeton University professor. PhD from MIT. Specializes in computer vision, 3D deep learning, and autonomous driving.",Chinese-American,
autumn-billing,Autumn Billing,Unknown,Co-Founder,YC S25 batch.,,
avelis-health,Avelis Health,Angel Onuoha,Co-Founder,YC S25 batch.,Nigerian (inferred from name),
avelis-health,Avelis Health,Ahmad Shehu,Co-Founder,YC S25 batch.,Nigerian (inferred from name),
avride,Avride,Dmitry Polishchuk,CEO,15+ years at Yandex. Former CEO of Yandex Self-Driving Group. Avride spun out of Yandex autonomous driving division.,Russian,
axelera-ai,Axelera Ai,Fabrizio Del Maffeo,CEO,Former Head of AI at Bitfury Group. Former VP at AAEON Technology Europe (ASUS Group).,Italian,
axelera-ai,Axelera Ai,Evangelos Eleftheriou,CTO,IBM Fellow. 35+ years at IBM Research Zurich.,Greek,
axiamatic,Axiamatic,Rajiv Gupta,CEO,Co-founded Skyhigh Networks (acq McAfee),Indian-American,
axiamatic,Axiamatic,Kaushik Narayan,CTO,Co-founded Skyhigh Networks,Indian-American,
axiom-ai,Axiom Ai,Carina Hong,CEO & Founder,25-year-old Stanford University PhD student in mathematics. MIT graduate. Described as a 'math wizard.' Research focus on formal verification and mathematical proof systems.,American,
axiom-math,Axiom Math,Carina Hong,CEO & Founder,"Morgan Prize winner, Rhodes Scholar, Stanford PhD dropout. Pioneer in applying formal verification to AI-generated code.",American,
axiom-math,Axiom Math,Shubho Sengupta,CTO,Led Meta's AI supercluster and CrypTen secure ML project.,Indian-American,
axiomatic-ai,Axiomatic Ai,Dirk Englund,Co-founder,MIT Professor of Electrical Engineering and Computer Science. Expert in quantum photonics and nanophotonics.,American,
axiomatic-ai,Axiomatic Ai,Frank Koppens,Co-founder,Professor at the Institute of Photonic Sciences (ICFO) in Barcelona. Leading researcher in photonics and 2D materials.,Dutch (inferred),
axiomatic-ai,Axiomatic Ai,Joyce Poon,Co-founder,Professor of Electrical and Computer Engineering at the University of Toronto. Expert in silicon photonics.,Canadian (inferred),
axiomatic-ai,Axiomatic Ai,Marin Soljacic,Co-founder,Professor of Physics at MIT and MacArthur Fellow. Pioneer in photonic crystals and wireless power transfer.,Croatian-American,
ayar-labs,Ayar Labs,Mark Wade,"Co-Founder & CEO (appointed CEO Dec 2023, formerly CTO)",Invented optical I/O technology at MIT and UC Berkeley (2010-2015). Pioneer in silicon photonics.,American,
ayar-labs,Ayar Labs,Alex Wright-Gladstein,Co-Founder & former CEO,MIT spinout co-founder.,American,
ayar-labs,Ayar Labs,Vladimir Stojanovic,Co-Founder,UC Berkeley professor. Optical communications researcher.,Serbian (inferred from name),
ayar-labs,Ayar Labs,Chen Sun,Co-Founder,Optical I/O researcher at MIT/UC Berkeley.,Chinese,
aydi,Aydi,Hassan Fayed,Founder & CEO,AgTech entrepreneur.,Arab/Middle Eastern (inferred from name),
backflip-ai,Backflip Ai,Greg Mark,Co-Founder & CEO,"Co-founded Markforged in 2013 (industrial 3D printing, SPAC'd at $2.1B peak valuation). Built Eiger cloud CAD platform used by 50K+ engineers.",American,
backflip-ai,Backflip Ai,David Benhaim,Co-Founder & CTO,Co-founded Markforged. Deep expertise in 3D printing and CAD systems.,French/North African (inferred from name),
baichuan-intelligence,Baichuan Intelligence,Wang Xiaochuan (王小川),Founder & CEO,"Tsinghua University, Computer Science (entered via national informatics olympiad) Former CEO of Sogou (China's second-largest search engine), which was acquired by Tencent in 2021 for ~$3.5B. Built Sogou from a Sohu subsidiary into a publicly traded company (NYSE). One of China's most prominent tech entrepreneurs, often called a ""first-generation internet veteran.""",Chinese,
basepilot,Basepilot,Pascal Wieler,Co-Founder,"Carnegie Mellon robotics, Mercedes-Benz Research",German,
basepilot,Basepilot,Ken Hendricks,Co-Founder,Led fintech product to 3M users,Indian-New Zealander,
baseten,Baseten,Tuhin Srivastava,Co-Founder & CEO,Former investment banker at Macquarie Group. ML roles at Skulpt and Gumroad.,Indian,
baseten,Baseten,Amir Haghighat,Co-Founder & CTO,AI infrastructure engineering background.,Iranian (inferred from name),
baseten,Baseten,Philip Howes,Co-Founder & Chief Scientist,ML research background.,British/American (inferred from name),
